question_id,mode,rank,paper_id,title,chunk_id,pages,source,graph_reasons
q_api_001,vector_only,1,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,paper85_chunk_0027,12,vector,[]
q_api_001,vector_only,2,paper148,H-RAG at SemEval-2026 Task 8: Hierarchical Parent-Child Retrieval for Multi-Turn RAG Conversations,paper148_chunk_0009,6-7,vector,[]
q_api_001,vector_only,3,paper148,H-RAG at SemEval-2026 Task 8: Hierarchical Parent-Child Retrieval for Multi-Turn RAG Conversations,paper148_chunk_0010,7,vector,[]
q_api_001,vector_only,4,paper12,Generation: A Controlled Empirical Study1,paper12_chunk_0000,1-2,vector,[]
q_api_001,vector_only,5,paper12,Generation: A Controlled Empirical Study1,paper12_chunk_0017,14,vector,[]
q_api_001,graph_guided,1,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,paper70_chunk_0018,10,graph,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_001,graph_guided,2,paper63,FT-RAG: A Fine-grained Retrieval-Augmented Generation Framework for Complex Table Reasoning,paper63_chunk_0017,8-9,graph,"['shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Information Retrieval', 'shared_topic: Question Answering']"
q_api_001,graph_guided,3,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,paper70_chunk_0000,1,graph,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_001,graph_guided,4,paper63,FT-RAG: A Fine-grained Retrieval-Augmented Generation Framework for Complex Table Reasoning,paper63_chunk_0001,1-2,graph,"['shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Information Retrieval', 'shared_topic: Question Answering']"
q_api_001,graph_guided,5,paper111,GRAIL: A Deep-Granularity Hybrid Resonance Framework for Real-Time Agent Discovery via SLM-Enhanced Indexing,paper111_chunk_0004,2-3,graph,"['shared_topic: Large Language Models', 'shared_topic: Dense Retrieval', 'shared_topic: Hybrid Search']"
q_api_001,graph_guided,6,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,paper85_chunk_0027,12,vector,[]
q_api_001,graph_guided,7,paper121,LLM-Augmented Semantic Steering of Text Embedding Projection Spaces,paper121_chunk_0013,6-7,graph,"['shared_topic: Large Language Models', 'shared_topic: Embeddings', 'shared_topic: Safety and Bias']"
q_api_001,graph_guided,8,paper111,GRAIL: A Deep-Granularity Hybrid Resonance Framework for Real-Time Agent Discovery via SLM-Enhanced Indexing,paper111_chunk_0017,8,graph,"['shared_topic: Large Language Models', 'shared_topic: Dense Retrieval', 'shared_topic: Hybrid Search']"
q_api_001,hybrid_graphrag,1,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,paper85_chunk_0027,12,vector,[]
q_api_001,hybrid_graphrag,2,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,paper70_chunk_0018,10,graph,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_001,hybrid_graphrag,3,paper148,H-RAG at SemEval-2026 Task 8: Hierarchical Parent-Child Retrieval for Multi-Turn RAG Conversations,paper148_chunk_0009,6-7,vector,[]
q_api_001,hybrid_graphrag,4,paper63,FT-RAG: A Fine-grained Retrieval-Augmented Generation Framework for Complex Table Reasoning,paper63_chunk_0017,8-9,graph,"['shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Information Retrieval', 'shared_topic: Question Answering']"
q_api_001,hybrid_graphrag,5,paper148,H-RAG at SemEval-2026 Task 8: Hierarchical Parent-Child Retrieval for Multi-Turn RAG Conversations,paper148_chunk_0010,7,vector,[]
q_api_001,hybrid_graphrag,6,paper12,Generation: A Controlled Empirical Study1,paper12_chunk_0000,1-2,vector,[]
q_api_001,hybrid_graphrag,7,paper12,Generation: A Controlled Empirical Study1,paper12_chunk_0017,14,vector,[]
q_api_001,hybrid_graphrag,8,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,paper70_chunk_0000,1,graph,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_002,vector_only,1,paper12,Generation: A Controlled Empirical Study1,paper12_chunk_0017,14,vector,[]
q_api_002,vector_only,2,paper12,Generation: A Controlled Empirical Study1,paper12_chunk_0000,1-2,vector,[]
q_api_002,vector_only,3,paper148,H-RAG at SemEval-2026 Task 8: Hierarchical Parent-Child Retrieval for Multi-Turn RAG Conversations,paper148_chunk_0010,7,vector,[]
q_api_002,vector_only,4,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,paper85_chunk_0027,12,vector,[]
q_api_002,vector_only,5,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,paper85_chunk_0003,2,vector,[]
q_api_002,graph_guided,1,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,paper70_chunk_0003,2-3,graph,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
