paper_id,title,topic,topic_type,source,evidence,confidence,tfidf_score,doc_frequency
paper1,FlexSQL: Flexible Exploration and Execution Make Better Text-to-SQL Agents,Text-to-SQL,controlled,controlled_title,text-to-sql,0.95,,
paper1,FlexSQL: Flexible Exploration and Execution Make Better Text-to-SQL Agents,Code Generation,controlled,controlled_abstract,coding agent,0.82,,
paper1,FlexSQL: Flexible Exploration and Execution Make Better Text-to-SQL Agents,Reasoning,controlled,controlled_abstract,reasoning,0.82,,
paper2,Reinforcement Learning for LLM-based Multi-Agent Systems through Orchestration Traces,Large Language Models,controlled,controlled_title,llm,0.95,,
paper2,Reinforcement Learning for LLM-based Multi-Agent Systems through Orchestration Traces,LLM Agents,controlled,controlled_abstract,llm agents,0.82,,
paper2,Reinforcement Learning for LLM-based Multi-Agent Systems through Orchestration Traces,Safety and Bias,controlled,controlled_abstract,safety,0.82,,
paper3,mdok-style at SemEval-2026 Task 10: Finetuning LLMs for Conspiracy Detection,Large Language Models,controlled,controlled_title,llms,0.95,,
paper3,mdok-style at SemEval-2026 Task 10: Finetuning LLMs for Conspiracy Detection,Text Classification,controlled,controlled_abstract,text classification,0.82,,
paper4,mdok-style at SemEval-2026 Task 9: Finetuning LLMs for Multilingual Polarization Detection,Large Language Models,controlled,controlled_title,llms,0.95,,
paper4,mdok-style at SemEval-2026 Task 9: Finetuning LLMs for Multilingual Polarization Detection,Multilingual NLP,controlled,controlled_title,multilingual,0.95,,
paper4,mdok-style at SemEval-2026 Task 9: Finetuning LLMs for Multilingual Polarization Detection,Text Classification,controlled,controlled_abstract,classification task,0.82,,
paper5,Fuzzy Fingerprinting Encoder Pre-trained Language Models for Emotion Recognition in Conversations: Human Assessment and Validity Study,Embeddings,controlled,controlled_abstract,embeddings,0.82,,
paper5,Fuzzy Fingerprinting Encoder Pre-trained Language Models for Emotion Recognition in Conversations: Human Assessment and Validity Study,Pre Trained Language,discovered,extracted_keyphrase,pre trained language,0.76,0.2759,2.0
paper5,Fuzzy Fingerprinting Encoder Pre-trained Language Models for Emotion Recognition in Conversations: Human Assessment and Validity Study,Pre Trained,discovered,extracted_keyphrase,pre trained,0.76,0.2243,6.0
paper5,Fuzzy Fingerprinting Encoder Pre-trained Language Models for Emotion Recognition in Conversations: Human Assessment and Validity Study,Pre Trained Language Models,discovered,extracted_keyphrase,pre trained language models,0.72,0.2972,1.0
paper5,Fuzzy Fingerprinting Encoder Pre-trained Language Models for Emotion Recognition in Conversations: Human Assessment and Validity Study,Emotion Recognition,discovered,extracted_keyphrase,emotion recognition,0.72,0.2972,1.0
paper5,Fuzzy Fingerprinting Encoder Pre-trained Language Models for Emotion Recognition in Conversations: Human Assessment and Validity Study,Encoder Pre,discovered,extracted_keyphrase,encoder pre,0.72,0.1981,1.0
paper6,ContextualJailbreak: Evolutionary Red-Teaming via Simulated Conversational Priming,Large Language Models,controlled,controlled_abstract,llm,0.82,,
paper6,ContextualJailbreak: Evolutionary Red-Teaming via Simulated Conversational Priming,Safety and Bias,controlled,controlled_abstract,safety,0.82,,
paper7,Mapping Discourse Reframing: A Multi-Layer Network Approach to Italian HPV Vaccine Discourse on X (2010-2024),Multi Layer,discovered,extracted_keyphrase,multi layer,0.76,0.2532,3.0
