question_id,mode,rank,source,paper_id,title,pages,retrieval_score,graph_score,final_score,graph_reasons
q_api_001,vector_only,1,vector,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,12,1.0,0.0,1.0,[]
q_api_001,vector_only,2,vector,paper148,H-RAG at SemEval-2026 Task 8: Hierarchical Parent-Child Retrieval for Multi-Turn RAG Conversations,6-7,0.4033603165090676,0.0,0.4034,[]
q_api_001,vector_only,3,vector,paper148,H-RAG at SemEval-2026 Task 8: Hierarchical Parent-Child Retrieval for Multi-Turn RAG Conversations,7,0.14381606215015894,0.0,0.1438,[]
q_api_001,vector_only,4,vector,paper12,Generation: A Controlled Empirical Study1,1-2,0.11574279345485947,0.0,0.1157,[]
q_api_001,vector_only,5,vector,paper12,Generation: A Controlled Empirical Study1,14,0.0,0.0,0.0,[]
q_api_001,graph_guided,1,graph,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,10,0.8232657658416693,1.0,0.9116,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_001,graph_guided,2,graph,paper63,FT-RAG: A Fine-grained Retrieval-Augmented Generation Framework for Complex Table Reasoning,8-9,0.7777403120646059,1.0,0.8889,"['shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Information Retrieval', 'shared_topic: Question Answering']"
q_api_001,graph_guided,3,graph,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,1,0.7395312683643392,1.0,0.8698,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_001,graph_guided,4,graph,paper63,FT-RAG: A Fine-grained Retrieval-Augmented Generation Framework for Complex Table Reasoning,1-2,0.7084807023243442,1.0,0.8542,"['shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Information Retrieval', 'shared_topic: Question Answering']"
q_api_001,graph_guided,5,graph,paper111,GRAIL: A Deep-Granularity Hybrid Resonance Framework for Real-Time Agent Discovery via SLM-Enhanced Indexing,2-3,0.4444974761957579,0.75,0.6222,"['shared_topic: Large Language Models', 'shared_topic: Dense Retrieval', 'shared_topic: Hybrid Search']"
q_api_001,graph_guided,6,vector,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,12,1.0,0.0,0.6,[]
q_api_001,graph_guided,7,graph,paper121,LLM-Augmented Semantic Steering of Text Embedding Projection Spaces,6-7,0.38845807808738214,0.75,0.5942,"['shared_topic: Large Language Models', 'shared_topic: Embeddings', 'shared_topic: Safety and Bias']"
q_api_001,graph_guided,8,graph,paper111,GRAIL: A Deep-Granularity Hybrid Resonance Framework for Real-Time Agent Discovery via SLM-Enhanced Indexing,8,0.3475950871235567,0.75,0.5738,"['shared_topic: Large Language Models', 'shared_topic: Dense Retrieval', 'shared_topic: Hybrid Search']"
q_api_001,hybrid_graphrag,1,vector,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,12,1.0,0.0,0.9,[]
q_api_001,hybrid_graphrag,2,graph,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,10,0.8232657658416693,1.0,0.8586,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_001,hybrid_graphrag,3,vector,paper148,H-RAG at SemEval-2026 Task 8: Hierarchical Parent-Child Retrieval for Multi-Turn RAG Conversations,6-7,0.9266489934602149,0.0,0.8413,[]
q_api_001,hybrid_graphrag,4,graph,paper63,FT-RAG: A Fine-grained Retrieval-Augmented Generation Framework for Complex Table Reasoning,8-9,0.7777403120646059,1.0,0.8222,"['shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Information Retrieval', 'shared_topic: Question Answering']"
q_api_001,hybrid_graphrag,5,vector,paper148,H-RAG at SemEval-2026 Task 8: Hierarchical Parent-Child Retrieval for Multi-Turn RAG Conversations,7,0.8947405689527235,0.0,0.8158,[]
q_api_001,hybrid_graphrag,6,vector,paper12,Generation: A Controlled Empirical Study1,1-2,0.8912892354718298,0.0,0.813,[]
q_api_001,hybrid_graphrag,7,vector,paper12,Generation: A Controlled Empirical Study1,14,0.8770597924184171,0.0,0.8016,[]
q_api_001,hybrid_graphrag,8,graph,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,1,0.7395312683643392,1.0,0.7916,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_002,vector_only,1,vector,paper12,Generation: A Controlled Empirical Study1,14,1.0,0.0,1.0,[]
q_api_002,vector_only,2,vector,paper12,Generation: A Controlled Empirical Study1,1-2,0.533776200152738,0.0,0.5338,[]
q_api_002,vector_only,3,vector,paper148,H-RAG at SemEval-2026 Task 8: Hierarchical Parent-Child Retrieval for Multi-Turn RAG Conversations,7,0.4074188300241021,0.0,0.4074,[]
q_api_002,vector_only,4,vector,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,12,0.07951490756415074,0.0,0.0795,[]
q_api_002,vector_only,5,vector,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,2,0.0,0.0,0.0,[]
q_api_002,graph_guided,1,graph,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,2-3,0.734491007653188,1.0,0.8672,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_002,graph_guided,2,graph,paper63,FT-RAG: A Fine-grained Retrieval-Augmented Generation Framework for Complex Table Reasoning,8-9,0.6889551498036568,1.0,0.8445,"['shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Information Retrieval', 'shared_topic: Question Answering']"
